year,n,mean,ci_lo,ci_hi,metric,variant
1969,44,0.31491148181878764,0.17466075935312989,0.4481976079229035,heartbreak_share,weighted_complete_case
1970,59,0.3847209013095325,0.25204638519481526,0.5048851333353453,heartbreak_share,weighted_complete_case
1971,61,0.3624650246986079,0.23579978425881676,0.4942474482678601,heartbreak_share,weighted_complete_case
1972,48,0.23598173515981735,0.12272270529235196,0.36531218963133727,heartbreak_share,weighted_complete_case
1973,48,0.27399115111755284,0.14856045511412203,0.4181829008293279,heartbreak_share,weighted_complete_case
1974,52,0.2761215629522431,0.14764792761578077,0.40021068297725404,heartbreak_share,weighted_complete_case
1975,64,0.2908933733149634,0.18334868345934227,0.41711296234565154,heartbreak_share,weighted_complete_case
1976,55,0.3341417792150149,0.19989436413925232,0.4700886587456609,heartbreak_share,weighted_complete_case
1977,66,0.32764384363867066,0.2042961902930163,0.4532050073713725,heartbreak_share,weighted_complete_case
1978,67,0.2586759442844139,0.1538392734404347,0.3643151014414217,heartbreak_share,weighted_complete_case
1979,69,0.3300507981677712,0.22170217155157834,0.44498429440322096,heartbreak_share,weighted_complete_case
1980,61,0.3676989588847715,0.22655360137926,0.4971700586180608,heartbreak_share,weighted_complete_case
1981,79,0.3686328372302641,0.25714940220244,0.4813441834713282,heartbreak_share,weighted_complete_case
1982,67,0.26322445486248613,0.1612121775806695,0.3710137851935133,heartbreak_share,weighted_complete_case
1983,70,0.43574946520073626,0.3189974854335869,0.5504281419584942,heartbreak_share,weighted_complete_case
1984,68,0.4623392884055787,0.3408162607128263,0.5844514942500063,heartbreak_share,weighted_complete_case
1985,57,0.22715082073100523,0.12070796432378403,0.3454263447255027,heartbreak_share,weighted_complete_case
1986,67,0.3088086485378694,0.20346227362856192,0.43100715503990616,heartbreak_share,weighted_complete_case
1987,77,0.35385719250647446,0.2483623649472049,0.46678871569088476,heartbreak_share,weighted_complete_case
1988,73,0.42199958663751375,0.2993099629581876,0.5324236668666043,heartbreak_share,weighted_complete_case
1989,72,0.2892717019548631,0.18571095962692694,0.40732038527849124,heartbreak_share,weighted_complete_case
1990,68,0.45808254249596886,0.32890636129038425,0.5903859325347015,heartbreak_share,weighted_complete_case
1991,61,0.2422053766602324,0.13908489972166543,0.36538199754529266,heartbreak_share,weighted_complete_case
1992,59,0.2977302763891283,0.1703555054985095,0.430800025513955,heartbreak_share,weighted_complete_case
1993,65,0.3907416571637584,0.2583664325735722,0.528374714606373,heartbreak_share,weighted_complete_case
1994,70,0.31544750111226455,0.1963809015447838,0.44674804700600423,heartbreak_share,weighted_complete_case
1995,67,0.3393463606109736,0.2119699195669609,0.47223198854257087,heartbreak_share,weighted_complete_case
1996,71,0.34412532637075716,0.21134637552200397,0.4802211709993566,heartbreak_share,weighted_complete_case
1997,72,0.4009439704821929,0.2505763555980288,0.53918276874992,heartbreak_share,weighted_complete_case
1998,61,0.4034185744606318,0.27524999931941335,0.5350736171962275,heartbreak_share,weighted_complete_case
1999,62,0.3257534328298848,0.19719733573436912,0.4517097093408983,heartbreak_share,weighted_complete_case
2000,62,0.4062332439678284,0.2767531595009504,0.5505311585321697,heartbreak_share,weighted_complete_case
2001,60,0.2592027605651584,0.133533371993703,0.3987181300807086,heartbreak_share,weighted_complete_case
2002,56,0.4335820895522388,0.2867240469218404,0.583657421507164,heartbreak_share,weighted_complete_case
2003,64,0.3773542138883165,0.24095797238134317,0.5097747326270219,heartbreak_share,weighted_complete_case
2004,58,0.4551817150797462,0.3075205624454833,0.5926421236456284,heartbreak_share,weighted_complete_case
2005,53,0.4073217640715501,0.2528225692234021,0.5707648498190637,heartbreak_share,weighted_complete_case
2006,58,0.28142602005770023,0.16071445379697374,0.4292441968928192,heartbreak_share,weighted_complete_case
2007,61,0.29333537730425785,0.16711450312289042,0.4350896051333502,heartbreak_share,weighted_complete_case
2008,72,0.29702776525046587,0.17429689113911268,0.434707751309056,heartbreak_share,weighted_complete_case
2009,68,0.27099492031778644,0.1517904279466139,0.39686693814648066,heartbreak_share,weighted_complete_case
